TagID,TagName,Category
0,60-minutes-or-less,time
1,time-to-make,time
2,course,course
3,main-ingredient,ingredient
4,preparation,prep_method
5,lunch,course
6,poultry,ingredient
7,chicken,ingredient
8,sandwiches,course
9,meat,ingredient
10,occasion,occasion
11,for-large-groups,feature
12,desserts,course
13,holiday-event,occasion
14,winter,specific_date
15,cakes,course
16,christmas,specific_date
17,seasonal,flavor_mood
18,taste-mood,flavor_mood
19,sweet,flavor_mood
20,number-of-servings,feature
21,4-hours-or-less,time
22,cuisine,cuisine
23,european,cuisine
24,english,cuisine
25,5-ingredients-or-less,feature
26,cobblers-and-crisps,course
27,easy,feature
28,15-minutes-or-less,time
29,for-1-or-2,feature
30,beverages,course
31,cocktails,course
32,low-protein,diet
33,side-dishes,course
34,dietary,diet
35,low-sodium,diet
36,low-in-something,diet
37,mashed-potatoes,ingredient
38,dinner-party,occasion
39,crock-pot-slow-cooker,prep_method
40,pressure-cooker,prep_method
41,stove-top,prep_method
42,equipment,prep_method
43,casseroles,course
44,main-dish,course
45,one-dish-meal,course
46,chicken-breasts,ingredient
47,breads,ingredient
48,vegetables,ingredient
49,rolls-biscuits,course
50,green-yellow-beans,ingredient
51,breakfast,course
52,snacks,course
53,grains,ingredient
54,pasta-rice-and-grains,ingredient
55,oatmeal,ingredient
56,quick-breads,course
57,cookies-and-brownies,course
58,healthy,feature
59,1-day-or-more,time
60,fall,specific_date
61,romantic,flavor_mood
62,halloween,specific_date
63,seafood,ingredient
64,shrimp,ingredient
65,shellfish,ingredient
66,soups-stews,course
67,low-calorie,diet
68,low-carb,diet
69,chili,course
70,turkey,ingredient
71,thanksgiving,specific_date
72,meatloaf,course
73,appetizers,course
74,eggs-dairy,ingredient
75,cheese,ingredient
76,stuffings-dressings,ingredient
77,indian,cuisine
78,meatballs,course
79,pizza,course
80,30-minutes-or-less,time
81,condiments-etc,condiment
82,low-fat,diet
83,low-cholesterol,diet
84,low-saturated-fat,diet
85,healthy-2,feature
86,from-scratch,feature
87,oven,prep_method
88,novelty,feature
89,birthday,occasion
90,mexican,cuisine
91,copycat,feature
92,potatoes,ingredient
93,north-american,cuisine
94,american,cuisine
95,cajun,cuisine
96,southern-united-states,cuisine
97,australian,cuisine
98,high-calcium,diet
99,high-protein,diet
100,high-in-something,diet
101,3-steps-or-less,feature
102,salads,course
103,creole,cuisine
104,spicy,flavor_mood
105,brunch,course
106,diabetic,diet
107,egg-free,diet
108,free-of-something,diet
109,very-low-carbs,diet
110,pork,ingredient
111,asian,cuisine
112,thai,cuisine
113,vegan,diet
114,vegetarian,diet
115,cauliflower,ingredient
116,fruit,ingredient
117,coffee-cakes,course
118,tropical-fruit,ingredient
119,bananas,ingredient
120,south-american,cuisine
121,peruvian,cuisine
122,pasta,ingredient
123,pork-ribs,ingredient
124,salmon,ingredient
125,fish,ingredient
126,saltwater-fish,ingredient
127,bacon,ingredient
128,eggs,ingredient
129,pineapple,ingredient
130,beef,ingredient
131,middle-eastern,cuisine
132,summer,specific_date
133,grilling,prep_method
134,technique,prep_method
135,citrus,ingredient
136,argentine,cuisine
137,northeastern-united-states,cuisine
138,pennsylvania-dutch,cuisine
139,cheesecake,course
140,weeknight,occasion
141,stews,course
142,beginner-cook,feature
143,gifts,feature
144,inexpensive,feature
145,macaroni-and-cheese,course
146,hawaiian,cuisine
147,chicken-thighs-legs,ingredient
148,steak,ingredient
149,berries,ingredient
150,strawberries,ingredient
151,eggplant,ingredient
152,south-west-pacific,cuisine
153,herb-and-spice-mixes,condiment
154,cooking-mixes,condiment
155,pancakes-and-waffles,course
156,pies-and-tarts,course
157,pies,course
158,blueberries,ingredient
159,ice-cream,course
160,tarts,course
161,corn,ingredient
162,tomatoes,ingredient
163,onions,ingredient
164,squash,ingredient
165,zucchini,ingredient
166,rice,ingredient
167,brownies,course
168,sauces,condiment
169,salsas,condiment
170,ground-beef,ingredient
171,vietnamese,cuisine
172,gluten-free,diet
173,deep-fry,prep_method
174,korean,cuisine
175,beef-ribs,ingredient
176,lebanese,cuisine
177,turkish,cuisine
178,small-appliance,prep_method
179,mushrooms,ingredient
180,italian,cuisine
181,savory-sauces,condiment
182,fudge,course
183,candy,course
184,greek,cuisine
185,chocolate,ingredient
186,puddings-and-mousses,course
187,chocolate-chip-cookies,course
188,cupcakes,course
189,bisques-cream-soups,course
190,canadian,cuisine
191,yeast,ingredient
192,apples,ingredient
193,pasta-shells,ingredient
194,broccoli,ingredient
195,baking,prep_method
196,dips,condiment
197,yams-sweet-potatoes,ingredient
198,peanut-butter,condiment
199,crusts-pastry-dough-2,ingredient
200,spreads,condiment
201,scandinavian,cuisine
202,norwegian,cuisine
203,central-american,cuisine
204,southwestern-united-states,cuisine
205,tex-mex,cuisine
206,welsh,cuisine
207,gumbo,course
208,pork-sausage,ingredient
209,nuts,ingredient
210,comfort-food,flavor_mood
211,barbecue,cuisine
212,south-african,cuisine
213,african,cuisine
214,austrian,cuisine
215,high-fiber,diet
216,german,cuisine
217,hungarian,cuisine
218,peppers,ingredient
219,ethiopian,cuisine
220,lamb-sheep,ingredient
221,marinades-and-rubs,condiment
222,heirloom-historical,feature
223,japanese,cuisine
224,no-cook,prep_method
225,roast,prep_method
226,muffins,course
227,chinese,cuisine
228,stir-fry,prep_method
229,brown-rice,ingredient
230,leftovers,feature
231,moroccan,cuisine
232,puerto-rican,cuisine
233,caribbean,cuisine
234,steam,prep_method
235,clams,ingredient
236,spaghetti,ingredient
237,spring,specific_date
238,iraqi,cuisine
239,pumpkin,ingredient
240,lasagna,course
241,savory-pies,course
242,quiche,course
243,elbow-macaroni,ingredient
244,curries,course
245,whole-chicken,ingredient
246,kosher,diet
247,chowders,course
248,presentation,feature
249,served-hot,prep_method
250,easter,specific_date
251,passover,occasion
252,artichoke,ingredient
253,celebrity,feature
254,freshwater-fish,ingredient
255,picnic,occasion
256,to-go,feature
257,greens,ingredient
258,spinach,ingredient
259,irish,cuisine
260,st-patricks-day,specific_date
261,frozen-desserts,course
262,valentines-day,specific_date
263,sweet-sauces,condiment
264,rolled-cookies,course
265,british-columbian,cuisine
266,spanish,cuisine
267,oamc-freezer-make-ahead,feature
268,jewish-sephardi,cuisine
269,burgers,course
270,super-bowl,specific_date
271,non-alcoholic,diet
272,salad-dressings,condiment
273,wild-game,ingredient
274,deer,ingredient
275,french,cuisine
276,tuna,ingredient
277,avocado,ingredient
278,pitted-fruit,ingredient
279,peaches,ingredient
280,beans,ingredient
281,lentils,ingredient
282,punch,course
283,filipino,cuisine
284,mango,ingredient
285,beef-sausage,ingredient
286,portuguese,cuisine
287,drop-cookies,course
288,cake-fillings-and-frostings,condiment
289,independence-day,specific_date
290,fillings-and-frostings-chocolate,condiment
291,refrigerator,prep_method
292,smoothies,course
293,midwestern,cuisine
294,lactose,diet
295,long-grain-rice,ingredient
296,dutch,cuisine
297,chick-peas-garbanzos,ingredient
298,shakes,course
299,mixer,prep_method
300,swedish,cuisine
301,potluck,feature
302,nut-free,diet
303,ragu-recipe-contest,feature
304,new-years,specific_date
305,crab,ingredient
306,collard-greens,ingredient
307,pork-chops,ingredient
308,pork-loins,ingredient
309,grapes,ingredient
310,lemon,ingredient
311,lettuces,ingredient
312,microwave,prep_method
313,wedding,occasion
314,coconut,ingredient
315,jewish-ashkenazi,cuisine
316,kid-friendly,feature
317,short-grain-rice,ingredient
318,scallops,ingredient
319,swiss,cuisine
320,white-rice,ingredient
321,fathers-day,specific_date
322,bar-cookies,course
323,iranian-persian,cuisine
324,black-beans,ingredient
325,pakistani,cuisine
326,soy-tofu,ingredient
327,omelets-and-frittatas,course
328,venezuelan,cuisine
329,baja,cuisine
330,camping,occasion
331,chicken-livers,ingredient
332,carrots,ingredient
333,brown-bag,feature
334,cantonese,cuisine
335,clear-soups,course
336,veal,ingredient
337,cuban,cuisine
338,broil,prep_method
339,jams-and-preserves,condiment
340,hand-formed-cookies,course
341,stocks,condiment
342,scones,course
343,finger-food,course
344,flat-shapes,course
345,savory,flavor_mood
346,rosh-hashanah,specific_date
347,bread-machine,prep_method
348,a1-sauce,condiment
349,wings,ingredient
350,canning,prep_method
351,water-bath,prep_method
352,pot-pie,course
353,brazilian,cuisine
354,chilean,cuisine
355,quebec,cuisine
356,cherries,ingredient
357,jellies,condiment
358,russian,cuisine
359,granola-and-porridge,course
360,polish,cuisine
361,raspberries,ingredient
362,labor-day,specific_date
363,scottish,cuisine
364,food-processor-blender,prep_method
365,freezer,prep_method
366,roast-beef,ingredient
367,lime,ingredient
368,served-cold,prep_method
369,ham,ingredient
370,crawfish,ingredient
371,hunan,cuisine
372,mothers-day,specific_date
373,simply-potatoes,ingredient
374,colombian,cuisine
375,honduran,cuisine
376,cinco-de-mayo,specific_date
377,irish-st-patricks-day,specific_date
378,szechuan,cuisine
379,asparagus,ingredient
380,toddler-friendly,feature
381,duck,ingredient
382,oranges,ingredient
383,veggie-burgers,course
384,oaxacan,cuisine
385,bok-choys,ingredient
386,ecuadorean,cuisine
387,halibut,ingredient
388,turkey-burgers,course
389,saudi-arabian,cuisine
390,belgian,cuisine
391,ravioli-tortellini,ingredient
392,chinese-new-year,specific_date
393,sole-and-flounder,ingredient
394,czech,cuisine
395,penne,ingredient
396,tilapia,ingredient
397,unprocessed-freezer,prep_method
398,smoker,prep_method
399,polynesian,cuisine
400,pears,ingredient
401,gelatin,ingredient
402,chutneys,condiment
403,indonesian,cuisine
404,prepared-potatoes,ingredient
405,cod,ingredient
406,whole-duck,ingredient
407,memorial-day,specific_date
408,sourdough,ingredient
409,bear,ingredient
410,oysters,ingredient
411,garnishes,condiment
412,hanukkah,specific_date
413,medium-grain-rice,ingredient
414,turkey-breasts,ingredient
415,native-american,cuisine
416,infant-baby-friendly,feature
417,icelandic,cuisine
418,halloween-cocktails,course
419,chard,ingredient
420,superbowl,specific_date
421,whole-turkey,ingredient
422,danish,cuisine
423,dehydrator,prep_method
425,cambodian,cuisine
426,laotian,cuisine
427,lobster,ingredient
428,egyptian,cuisine
429,papaya,ingredient
430,catfish,ingredient
431,whitefish,ingredient
432,finnish,cuisine
433,mussels,ingredient
434,pressure-canning,prep_method
435,melons,ingredient
436,palestinian,cuisine
437,plums,ingredient
438,bass,ingredient
439,mardi-gras-carnival,specific_date
440,reynolds-wrap,prep_method
441,kiwifruit,ingredient
442,georgian,cuisine
443,angolan,cuisine
444,rabbit,ingredient
445,ontario,cuisine
446,Throw the ultimate fiesta with this sopaipillas recipe from Food.com.,feature
447,ramadan,specific_date
448,hidden-valley-ranch,condiment
449,malaysian,cuisine
450,no-shell-fish,diet
451,nigerian,cuisine
452,duck-breasts,ingredient
453,mahi-mahi,ingredient
454,manicotti,ingredient
455,mongolian,cuisine
456,amish-mennonite,cuisine
457,beef-liver,ingredient
458,rosh-hashana,specific_date
459,moose,ingredient
460,pheasant,ingredient
461,trout,ingredient
462,pickeral,ingredient
463,april-fools-day,specific_date
464,elk,ingredient
465,halloween-cupcakes,course
466,libyan,cuisine
467,sugar-cookies,course
468,sudanese,cuisine
469,new-zealand,cuisine
470,somalian,cuisine
471,nepalese,cuisine
472,high-in-something-diabetic-friendly,diet
473,brewing,prep_method
474,tempeh,ingredient
475,guatemalan,cuisine
476,simply-potatoes2,ingredient
477,costa-rican,cuisine